latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
53.353,158.358,303.1,1,1,2019-09-27,0030,T,55,6.0NRT,285.6,6.9,D
-10.864,142.396,316.3,1,1,2019-09-27,0050,T,46,6.0NRT,296.3,7.8,D
-11.75,142.471,320.2,1,1,2019-09-27,0050,T,63,6.0NRT,295.1,10.4,D
-11.787,142.719,319,1,1,2019-09-27,0050,T,38,6.0NRT,298.6,9.1,D
-12.423,141.861,324.9,1,1,2019-09-27,0050,T,72,6.0NRT,304,9.9,D
-12.425,141.87,353.1,1,1,2019-09-27,0050,T,97,6.0NRT,306.5,58.7,D
-12.434,141.869,342.1,1,1,2019-09-27,0050,T,91,6.0NRT,303.4,34.6,D
-12.571,141.806,324.1,1,1,2019-09-27,0050,T,0,6.0NRT,305.6,8.9,D
-12.939,141.676,330,1,1,2019-09-27,0050,T,63,6.0NRT,312.7,10.5,D
-12.944,141.646,353.7,1,1,2019-09-27,0050,T,96,6.0NRT,311.7,59.7,D
-12.945,141.655,334.5,1,1,2019-09-27,0050,T,71,6.0NRT,309.4,20.5,D
-12.948,141.674,357,1,1,2019-09-27,0050,T,98,6.0NRT,314,64.8,D
-12.949,141.684,331.4,1,1,2019-09-27,0050,T,62,6.0NRT,312.7,13.7,D
-12.503,135.646,319.7,2.5,1.5,2019-09-27,0050,T,45,6.0NRT,302,22.2,D
-12.507,135.669,321.1,2.5,1.5,2019-09-27,0050,T,64,6.0NRT,303.3,29.3,D
-14.313,143.689,326.8,1,1,2019-09-27,0050,T,71,6.0NRT,303.7,13.5,D
-14.314,143.699,328.7,1,1,2019-09-27,0050,T,74,6.0NRT,303.4,15.8,D
-14.322,143.688,325.9,1,1,2019-09-27,0050,T,64,6.0NRT,305.1,12.4,D
-14.324,143.697,330.6,1,1,2019-09-27,0050,T,80,6.0NRT,305,18.8,D
-14.325,143.707,321.9,1,1,2019-09-27,0050,T,59,6.0NRT,302.1,9.6,D
-14.815,141.715,334.2,1,1,2019-09-27,0050,T,75,6.0NRT,311.9,13.7,D
-14.824,141.714,347.7,1,1,2019-09-27,0050,T,92,6.0NRT,314.1,37.2,D
-13.331,132.415,320.7,4.3,1.9,2019-09-27,0050,T,44,6.0NRT,300.9,57.7,D
-13.341,132.072,321.7,4.5,2,2019-09-27,0050,T,62,6.0NRT,300.2,59.2,D
-13.349,132.113,354.9,4.5,2,2019-09-27,0050,T,97,6.0NRT,302,532.5,D
